,Country,Year,Value,Resource,Metric,Price,Price_Production
14475,Western Africa,1970,0.0037962,Natural Gas,Consumption,,
14476,Other Northern Africa,1970,0.0102618,Natural Gas,Consumption,,
14477,Other Southern Africa,1970,0,Natural Gas,Consumption,,
14478,Total Africa,1970,0.055974601,Natural Gas,Consumption,,
14479,Australia,1970,0.062294308,Natural Gas,Consumption,,
14480,Bangladesh,1970,0,Natural Gas,Consumption,,
14481,China,1970,0.104132742,Natural Gas,Consumption,,
14482,China Hong Kong SAR,1970,0,Natural Gas,Consumption,,
14483,India,1970,0.022782478,Natural Gas,Consumption,,
14484,Indonesia,1970,0.045273062,Natural Gas,Consumption,,
14485,Japan,1970,0.1285973787307739,Natural Gas,Consumption,,
14486,Malaysia,1970,0.000293076,Natural Gas,Consumption,,
14487,New Zealand,1970,0.00255744,Natural Gas,Consumption,,
14488,Pakistan,1970,0.1047741323709487,Natural Gas,Consumption,,
14489,Philippines,1970,0,Natural Gas,Consumption,,
14490,Singapore,1970,0,Natural Gas,Consumption,,
14491,South Korea,1970,0,Natural Gas,Consumption,,
14492,Sri Lanka,1970,0,Natural Gas,Consumption,,
14493,Taiwan,1970,0.020232927,Natural Gas,Consumption,,
14494,Thailand,1970,0,Natural Gas,Consumption,,
14495,Vietnam,1970,0,Natural Gas,Consumption,,
14496,Other Asia Pacific,1970,0.021431475,Natural Gas,Consumption,,
14497,Total Asia Pacific,1970,0.5123690195323434,Natural Gas,Consumption,,
14498,Total World,1970,34.61331034309842,Natural Gas,Consumption,,
14499,of which: OECD,1970,25.657532082987014,Natural Gas,Consumption,,
14500,                 Non-OECD,1970,8.955778260111401,Natural Gas,Consumption,,
14501,                 European Union #,1970,3.444318673340604,Natural Gas,Consumption,,
14502,Canada,1971,1.3307949304580688,Natural Gas,Consumption,,
14503,Mexico,1971,0.3729402422904968,Natural Gas,Consumption,,
14504,US,1971,21.335494995117188,Natural Gas,Consumption,,
14505,Total North America,1971,23.039230167865757,Natural Gas,Consumption,,
14506,Argentina,1971,0.2275299876928329,Natural Gas,Consumption,,
14507,Brazil,1971,0.00459844,Natural Gas,Consumption,,
14508,Chile,1971,0.023577301,Natural Gas,Consumption,,
14509,Colombia,1971,0.0468162,Natural Gas,Consumption,,
14510,Ecuador,1971,0.00251208,Natural Gas,Consumption,,
14511,Peru,1971,0.017082451,Natural Gas,Consumption,,
14512,Trinidad & Tobago,1971,0.067086004,Natural Gas,Consumption,,
14513,Venezuela,1971,0.2985811233520508,Natural Gas,Consumption,,
14514,Central America,1971,0,Natural Gas,Consumption,,
14515,Other Caribbean,1971,0.00031464,Natural Gas,Consumption,,
14516,Other South America,1971,0.001251,Natural Gas,Consumption,,
14517,Total S. & Cent. America,1971,0.6893492265371606,Natural Gas,Consumption,,
14518,Austria,1971,0.1170239299535751,Natural Gas,Consumption,,
14519,Belgium,1971,0.1973330974578857,Natural Gas,Consumption,,
14520,Bulgaria,1971,0.0103554,Natural Gas,Consumption,,
14521,Croatia,1971,0,Natural Gas,Consumption,,
14522,Cyprus,1971,0,Natural Gas,Consumption,,
14523,Czech Republic,1971,0.035838,Natural Gas,Consumption,,
14524,Denmark,1971,0,Natural Gas,Consumption,,
14525,Estonia,1971,0,Natural Gas,Consumption,,
14526,Finland,1971,0,Natural Gas,Consumption,,
14527,France,1971,0.4076118171215057,Natural Gas,Consumption,,
14528,Germany,1971,0.7596890330314636,Natural Gas,Consumption,,
14529,Greece,1971,0,Natural Gas,Consumption,,
14530,Hungary,1971,0.1362798064947128,Natural Gas,Consumption,,
14531,Iceland,1971,0,Natural Gas,Consumption,,
14532,Ireland,1971,0,Natural Gas,Consumption,,
14533,Italy,1971,0.455031008,Natural Gas,Consumption,,
14534,Latvia,1971,0,Natural Gas,Consumption,,
14535,Lithuania,1971,0,Natural Gas,Consumption,,
14536,Luxembourg,1971,0.000527537,Natural Gas,Consumption,,
14537,Netherlands,1971,0.8299999833106995,Natural Gas,Consumption,,
14538,North Macedonia,1971,0,Natural Gas,Consumption,,
14539,Norway,1971,0,Natural Gas,Consumption,,
14540,Poland,1971,0.2393729984760284,Natural Gas,Consumption,,
14541,Portugal,1971,0,Natural Gas,Consumption,,
14542,Romania,1971,0.8208528757095337,Natural Gas,Consumption,,
14543,Slovakia,1971,0.054805499,Natural Gas,Consumption,,
14544,Slovenia,1971,0,Natural Gas,Consumption,,
14545,Spain,1971,0.01432584,Natural Gas,Consumption,,
14546,Sweden,1971,0,Natural Gas,Consumption,,
14547,Switzerland,1971,0.003348,Natural Gas,Consumption,,
14548,Turkey,1971,0,Natural Gas,Consumption,,
14549,Ukraine,1971,0,Natural Gas,Consumption,,
14550,United Kingdom,1971,0.6865514516830444,Natural Gas,Consumption,,
14551,Other Europe,1971,0.04266198,Natural Gas,Consumption,,
14552,Total Europe,1971,4.8116082572960295,Natural Gas,Consumption,,
14553,Azerbaijan,1971,0,Natural Gas,Consumption,,
14554,Belarus,1971,0,Natural Gas,Consumption,,
14555,Kazakhstan,1971,0,Natural Gas,Consumption,,
14556,Russian Federation,1971,0,Natural Gas,Consumption,,
14557,Turkmenistan,1971,0,Natural Gas,Consumption,,
14558,Uzbekistan,1971,0,Natural Gas,Consumption,,
14559,Other CIS,1971,0,Natural Gas,Consumption,,
14560,Total CIS,1971,7.456386089324951,Natural Gas,Consumption,,
14561,Iran,1971,0.1063564643263816,Natural Gas,Consumption,,
14562,Iraq,1971,0.031635001,Natural Gas,Consumption,,
14563,Israel,1971,0.00430439,Natural Gas,Consumption,,
14564,Kuwait,1971,0.071956798,Natural Gas,Consumption,,
14565,Oman,1971,0,Natural Gas,Consumption,,
14566,Qatar,1971,0.037446301,Natural Gas,Consumption,,
14567,Saudi Arabia,1971,0.046135802,Natural Gas,Consumption,,
14568,United Arab Emirates,1971,0.046682999,Natural Gas,Consumption,,
14569,Other Middle East,1971,0.034122419,Natural Gas,Consumption,,
14570,Total Middle East,1971,0.3786401744000613,Natural Gas,Consumption,,
14571,Algeria,1971,0.039778199,Natural Gas,Consumption,,
14572,Egypt,1971,0.00294525,Natural Gas,Consumption,,
14573,Morocco,1971,0.001807567,Natural Gas,Consumption,,
14574,South Africa,1971,0.002213232,Natural Gas,Consumption,,
14575,Eastern Africa,1971,3.3299998904112726e-05,Natural Gas,Consumption,,
14576,Middle Africa,1971,0.0046998,Natural Gas,Consumption,,
14577,Western Africa,1971,0.0070281,Natural Gas,Consumption,,
14578,Other Northern Africa,1971,0.0077535,Natural Gas,Consumption,,
14579,Other Southern Africa,1971,0,Natural Gas,Consumption,,
14580,Total Africa,1971,0.066258949,Natural Gas,Consumption,,
14581,Australia,1971,0.092976049,Natural Gas,Consumption,,
14582,Bangladesh,1971,0.01320165,Natural Gas,Consumption,,
14583,China,1971,0.1356991082429886,Natural Gas,Consumption,,
14584,China Hong Kong SAR,1971,0,Natural Gas,Consumption,,
14585,India,1971,0.024142388,Natural Gas,Consumption,,
14586,Indonesia,1971,0.045784619,Natural Gas,Consumption,,
14587,Japan,1971,0.1378863155841827,Natural Gas,Consumption,,
14588,Malaysia,1971,0.002983483,Natural Gas,Consumption,,
14589,New Zealand,1971,0.00324864,Natural Gas,Consumption,,
14590,Pakistan,1971,0.094899423,Natural Gas,Consumption,,
14591,Philippines,1971,0,Natural Gas,Consumption,,
14592,Singapore,1971,0,Natural Gas,Consumption,,
14593,South Korea,1971,0,Natural Gas,Consumption,,
14594,Sri Lanka,1971,0,Natural Gas,Consumption,,
14595,Taiwan,1971,0.040671267,Natural Gas,Consumption,,
14596,Thailand,1971,0,Natural Gas,Consumption,,
14597,Vietnam,1971,0,Natural Gas,Consumption,,
14598,Other Asia Pacific,1971,0.022517865,Natural Gas,Consumption,,
14599,Total Asia Pacific,1971,0.6140108081744984,Natural Gas,Consumption,,
14600,Total World,1971,37.05548367237861,Natural Gas,Consumption,,
14601,of which: OECD,1971,27.28577706433134,Natural Gas,Consumption,,
14602,                 Non-OECD,1971,9.769706608047272,Natural Gas,Consumption,,
14603,                 European Union #,1971,4.079046825238038,Natural Gas,Consumption,,
14604,Canada,1972,1.4968613386154177,Natural Gas,Consumption,,
14605,Mexico,1972,0.3988068103790283,Natural Gas,Consumption,,
14606,US,1972,21.553071975708008,Natural Gas,Consumption,,
14607,Total North America,1972,23.448740124702454,Natural Gas,Consumption,,
14608,Argentina,1972,0.2553279399871826,Natural Gas,Consumption,,
14609,Brazil,1972,0.006313731,Natural Gas,Consumption,,
14610,Chile,1972,0.021465899,Natural Gas,Consumption,,
14611,Colombia,1972,0.057186902,Natural Gas,Consumption,,
14612,Ecuador,1972,0.003642516,Natural Gas,Consumption,,
14613,Peru,1972,0.016424101,Natural Gas,Consumption,,
14614,Trinidad & Tobago,1972,0.069338702,Natural Gas,Consumption,,
14615,Venezuela,1972,0.296782911,Natural Gas,Consumption,,
14616,Central America,1972,0,Natural Gas,Consumption,,
14617,Other Caribbean,1972,0.000337608,Natural Gas,Consumption,,
14618,Other South America,1972,0.0018207,Natural Gas,Consumption,,
14619,Total S. & Cent. America,1972,0.72864101,Natural Gas,Consumption,,
14620,Austria,1972,0.1264671087265014,Natural Gas,Consumption,,
14621,Belgium,1972,0.2488085925579071,Natural Gas,Consumption,,
14622,Bulgaria,1972,0.0069768,Natural Gas,Consumption,,
14623,Croatia,1972,0,Natural Gas,Consumption,,
14624,Cyprus,1972,0,Natural Gas,Consumption,,
14625,Czech Republic,1972,0.038917799,Natural Gas,Consumption,,
14626,Denmark,1972,0,Natural Gas,Consumption,,
14627,Estonia,1972,0,Natural Gas,Consumption,,
14628,Finland,1972,0,Natural Gas,Consumption,,
14629,France,1972,0.4819958806037903,Natural Gas,Consumption,,
14630,Germany,1972,0.9836077094078064,Natural Gas,Consumption,,
14631,Greece,1972,0,Natural Gas,Consumption,,
14632,Hungary,1972,0.1470950990915298,Natural Gas,Consumption,,
14633,Iceland,1972,0,Natural Gas,Consumption,,
14634,Ireland,1972,0,Natural Gas,Consumption,,
14635,Italy,1972,0.5218064785003662,Natural Gas,Consumption,,
14636,Latvia,1972,0,Natural Gas,Consumption,,
14637,Lithuania,1972,0,Natural Gas,Consumption,,
14638,Luxembourg,1972,0.004220294,Natural Gas,Consumption,,
14639,Netherlands,1972,1.0800000429153442,Natural Gas,Consumption,,
14640,North Macedonia,1972,0,Natural Gas,Consumption,,
14641,Norway,1972,0,Natural Gas,Consumption,,
14642,Poland,1972,0.2518793940544128,Natural Gas,Consumption,,
14643,Portugal,1972,0,Natural Gas,Consumption,,
14644,Romania,1972,0.8332840204238892,Natural Gas,Consumption,,
14645,Slovakia,1972,0.059515201,Natural Gas,Consumption,,
14646,Slovenia,1972,0,Natural Gas,Consumption,,
14647,Spain,1972,0.042177599,Natural Gas,Consumption,,
14648,Sweden,1972,0,Natural Gas,Consumption,,
14649,Switzerland,1972,0.004248,Natural Gas,Consumption,,
14650,Turkey,1972,0,Natural Gas,Consumption,,
14651,Ukraine,1972,0,Natural Gas,Consumption,,
14652,United Kingdom,1972,0.974268377,Natural Gas,Consumption,,
14653,Other Europe,1972,0.052318304,Natural Gas,Consumption,,
14654,Total Europe,1972,5.857586700003594,Natural Gas,Consumption,,
14655,Azerbaijan,1972,0,Natural Gas,Consumption,,
14656,Belarus,1972,0,Natural Gas,Consumption,,
14657,Kazakhstan,1972,0,Natural Gas,Consumption,,
14658,Russian Federation,1972,0,Natural Gas,Consumption,,
14659,Turkmenistan,1972,0,Natural Gas,Consumption,,
14660,Uzbekistan,1972,0,Natural Gas,Consumption,,
14661,Other CIS,1972,0,Natural Gas,Consumption,,
14662,Total CIS,1972,7.842537879943848,Natural Gas,Consumption,,
14663,Iran,1972,0.1217446103692054,Natural Gas,Consumption,,
14664,Iraq,1972,0.031977002,Natural Gas,Consumption,,
14665,Israel,1972,0.004255048,Natural Gas,Consumption,,
14666,Kuwait,1972,0.085055403,Natural Gas,Consumption,,
14667,Oman,1972,0,Natural Gas,Consumption,,
14668,Qatar,1972,0.041097779,Natural Gas,Consumption,,
14669,Saudi Arabia,1972,0.052291799,Natural Gas,Consumption,,
14670,United Arab Emirates,1972,0.048438001,Natural Gas,Consumption,,
14671,Other Middle East,1972,0.042579755,Natural Gas,Consumption,,
14672,Total Middle East,1972,0.4274393976666033,Natural Gas,Consumption,,
14673,Algeria,1972,0.046188451,Natural Gas,Consumption,,
14674,Egypt,1972,0.00246015,Natural Gas,Consumption,,
14675,Morocco,1972,0.001957831,Natural Gas,Consumption,,
14676,South Africa,1972,0.003299034,Natural Gas,Consumption,,
14677,Eastern Africa,1972,3.3299998904112726e-05,Natural Gas,Consumption,,
14678,Middle Africa,1972,0.0055338,Natural Gas,Consumption,,
14679,Western Africa,1972,0.0094221,Natural Gas,Consumption,,
14680,Other Northern Africa,1972,0.019919701,Natural Gas,Consumption,,
14681,Other Southern Africa,1972,0,Natural Gas,Consumption,,
14682,Total Africa,1972,0.088814367,Natural Gas,Consumption,,
14683,Australia,1972,0.1334673464298248,Natural Gas,Consumption,,
14684,Bangladesh,1972,0.01320165,Natural Gas,Consumption,,
14685,China,1972,0.1756106168031692,Natural Gas,Consumption,,
14686,China Hong Kong SAR,1972,0,Natural Gas,Consumption,,
14687,India,1972,0.026481263,Natural Gas,Consumption,,
14688,Indonesia,1972,0.044907659,Natural Gas,Consumption,,
14689,Japan,1972,0.1379405260086059,Natural Gas,Consumption,,
14690,Malaysia,1972,0.004177815,Natural Gas,Consumption,,
14691,New Zealand,1972,0.00588672,Natural Gas,Consumption,,
14692,Pakistan,1972,0.1007611230015754,Natural Gas,Consumption,,
14693,Philippines,1972,0,Natural Gas,Consumption,,
14694,Singapore,1972,0,Natural Gas,Consumption,,
14695,South Korea,1972,0,Natural Gas,Consumption,,
14696,Sri Lanka,1972,0,Natural Gas,Consumption,,
14697,Taiwan,1972,0.047347102,Natural Gas,Consumption,,
14698,Thailand,1972,0,Natural Gas,Consumption,,
14699,Vietnam,1972,0,Natural Gas,Consumption,,
14700,Other Asia Pacific,1972,0.018626535,Natural Gas,Consumption,,
14701,Total Asia Pacific,1972,0.7084083569934592,Natural Gas,Consumption,,
14702,Total World,1972,39.10216783602664,Natural Gas,Consumption,,
14703,of which: OECD,1972,28.77395014092326,Natural Gas,Consumption,,
14704,                 Non-OECD,1972,10.328217695103376,Natural Gas,Consumption,,
14705,                 European Union #,1972,4.826752018649131,Natural Gas,Consumption,,
14706,Canada,1973,1.591844678,Natural Gas,Consumption,,
14707,Mexico,1973,0.441885382,Natural Gas,Consumption,,
14708,US,1973,21.37665367126465,Natural Gas,Consumption,,
14709,Total North America,1973,23.410383731126785,Natural Gas,Consumption,,
14710,Argentina,1973,0.2905479967594147,Natural Gas,Consumption,,
14711,Brazil,1973,0.00722612,Natural Gas,Consumption,,
14712,Chile,1973,0.016856009,Natural Gas,Consumption,,
14713,Colombia,1973,0.059255999,Natural Gas,Consumption,,
14714,Ecuador,1973,0.0020934,Natural Gas,Consumption,,
14715,Peru,1973,0.0160776,Natural Gas,Consumption,,
14716,Trinidad & Tobago,1973,0.066592798,Natural Gas,Consumption,,
14717,Venezuela,1973,0.3655940294265747,Natural Gas,Consumption,,
14718,Central America,1973,0,Natural Gas,Consumption,,
14719,Other Caribbean,1973,0.000649584,Natural Gas,Consumption,,
14720,Other South America,1973,0.0021249,Natural Gas,Consumption,,
14721,Total S. & Cent. America,1973,0.8270184362918371,Natural Gas,Consumption,,
14722,Austria,1973,0.1390003114938736,Natural Gas,Consumption,,
14723,Belgium,1973,0.2990601062774658,Natural Gas,Consumption,,
14724,Bulgaria,1973,0.007029,Natural Gas,Consumption,,
14725,Croatia,1973,0,Natural Gas,Consumption,,
14726,Cyprus,1973,0,Natural Gas,Consumption,,
14727,Czech Republic,1973,0.042741001,Natural Gas,Consumption,,
14728,Denmark,1973,0,Natural Gas,Consumption,,
14729,Estonia,1973,0,Natural Gas,Consumption,,
14730,Finland,1973,0,Natural Gas,Consumption,,
14731,France,1973,0.5653313994407654,Natural Gas,Consumption,,
14732,Germany,1973,1.2683899402618408,Natural Gas,Consumption,,
14733,Greece,1973,0,Natural Gas,Consumption,,
14734,Hungary,1973,0.1746729016304016,Natural Gas,Consumption,,
14735,Iceland,1973,0,Natural Gas,Consumption,,
14736,Ireland,1973,0,Natural Gas,Consumption,,
14737,Italy,1973,0.5861997008323669,Natural Gas,Consumption,,
14738,Latvia,1973,0,Natural Gas,Consumption,,
14739,Lithuania,1973,0,Natural Gas,Consumption,,
14740,Luxembourg,1973,0.008440589,Natural Gas,Consumption,,
14741,Netherlands,1973,1.2009999752044678,Natural Gas,Consumption,,
14742,North Macedonia,1973,0,Natural Gas,Consumption,,
14743,Norway,1973,0,Natural Gas,Consumption,,
14744,Poland,1973,0.2619530856609344,Natural Gas,Consumption,,
14745,Portugal,1973,0,Natural Gas,Consumption,,
14746,Romania,1973,0.8804228901863098,Natural Gas,Consumption,,
14747,Slovakia,1973,0.0653634,Natural Gas,Consumption,,
14748,Slovenia,1973,0,Natural Gas,Consumption,,
14749,Spain,1973,0.040723201,Natural Gas,Consumption,,
14750,Sweden,1973,0,Natural Gas,Consumption,,
14751,Switzerland,1973,0.005751,Natural Gas,Consumption,,
14752,Turkey,1973,0,Natural Gas,Consumption,,
14753,Ukraine,1973,0,Natural Gas,Consumption,,
14754,United Kingdom,1973,1.0541106462478638,Natural Gas,Consumption,,
14755,Other Europe,1973,0.056924368,Natural Gas,Consumption,,
14756,Total Europe,1973,6.657113515306264,Natural Gas,Consumption,,
14757,Azerbaijan,1973,0,Natural Gas,Consumption,,
14758,Belarus,1973,0,Natural Gas,Consumption,,
14759,Kazakhstan,1973,0,Natural Gas,Consumption,,
14760,Russian Federation,1973,0,Natural Gas,Consumption,,
14761,Turkmenistan,1973,0,Natural Gas,Consumption,,
14762,Uzbekistan,1973,0,Natural Gas,Consumption,,
14763,Other CIS,1973,0,Natural Gas,Consumption,,
14764,Total CIS,1973,8.528935432434082,Natural Gas,Consumption,,
14765,Iran,1973,0.1478774547576904,Natural Gas,Consumption,,
14766,Iraq,1973,0.031122001,Natural Gas,Consumption,,
14767,Israel,1973,0.00184695,Natural Gas,Consumption,,
14768,Kuwait,1973,0.095281199,Natural Gas,Consumption,,
14769,Oman,1973,0,Natural Gas,Consumption,,
14770,Qatar,1973,0.0588708,Natural Gas,Consumption,,
14771,Saudi Arabia,1973,0.061560001,Natural Gas,Consumption,,
14772,United Arab Emirates,1973,0.060722999,Natural Gas,Consumption,,
14773,Other Middle East,1973,0.060373656,Natural Gas,Consumption,,
14774,Total Middle East,1973,0.5176550609758124,Natural Gas,Consumption,,
14775,Algeria,1973,0.064293072,Natural Gas,Consumption,,
14776,Egypt,1973,0.00197505,Natural Gas,Consumption,,
14777,Morocco,1973,0.00244819,Natural Gas,Consumption,,
14778,South Africa,1973,0.003573635,Natural Gas,Consumption,,
14779,Eastern Africa,1973,3.3299998904112726e-05,Natural Gas,Consumption,,
14780,Middle Africa,1973,0.0187506,Natural Gas,Consumption,,
14781,Western Africa,1973,0.0144324,Natural Gas,Consumption,,
14782,Other Northern Africa,1973,0.0368802,Natural Gas,Consumption,,
14783,Other Southern Africa,1973,0,Natural Gas,Consumption,,
14784,Total Africa,1973,0.142386446,Natural Gas,Consumption,,
14785,Australia,1973,0.1694476753473281,Natural Gas,Consumption,,
14786,Bangladesh,1973,0.021171151,Natural Gas,Consumption,,
14787,China,1973,0.2169734537601471,Natural Gas,Consumption,,
14788,China Hong Kong SAR,1973,0,Natural Gas,Consumption,,
14789,India,1973,0.026411962,Natural Gas,Consumption,,
14790,Indonesia,1973,0.029231999,Natural Gas,Consumption,,
14791,Japan,1973,0.1919525116682052,Natural Gas,Consumption,,
14792,Malaysia,1973,0.004177815,Natural Gas,Consumption,,
14793,New Zealand,1973,0.00684288,Natural Gas,Consumption,,
14794,Pakistan,1973,0.1150396168231964,Natural Gas,Consumption,,
14795,Philippines,1973,0,Natural Gas,Consumption,,
14796,Singapore,1973,0,Natural Gas,Consumption,,
14797,South Korea,1973,0,Natural Gas,Consumption,,
14798,Sri Lanka,1973,0,Natural Gas,Consumption,,
14799,Taiwan,1973,0.054639176,Natural Gas,Consumption,,
14800,Thailand,1973,0,Natural Gas,Consumption,,
14801,Vietnam,1973,0,Natural Gas,Consumption,,
14802,Other Asia Pacific,1973,0.040816687,Natural Gas,Consumption,,
14803,Total Asia Pacific,1973,0.8767049267189577,Natural Gas,Consumption,,
14804,Total World,1973,40.96019754846202,Natural Gas,Consumption,,
14805,of which: OECD,1973,29.56932301248889,Natural Gas,Consumption,,
14806,                 Non-OECD,1973,11.390874535973126,Natural Gas,Consumption,,
14807,                 European Union #,1973,5.540327501,Natural Gas,Consumption,,
14808,Canada,1974,1.6091268062591553,Natural Gas,Consumption,,
14809,Mexico,1974,0.4649293124675751,Natural Gas,Consumption,,
14810,US,1974,20.63608932495117,Natural Gas,Consumption,,
14811,Total North America,1974,22.710145443677906,Natural Gas,Consumption,,
14812,Argentina,1974,0.3075278401374817,Natural Gas,Consumption,,
14813,Brazil,1974,0.013904807,Natural Gas,Consumption,,
14814,Chile,1974,0.01755981,Natural Gas,Consumption,,
14815,Colombia,1974,0.061652701,Natural Gas,Consumption,,
14816,Ecuador,1974,0.0041868,Natural Gas,Consumption,,
14817,Peru,1974,0.0165627,Natural Gas,Consumption,,
14818,Trinidad & Tobago,1974,0.060839102,Natural Gas,Consumption,,
14819,Venezuela,1974,0.3863732516765594,Natural Gas,Consumption,,
14820,Central America,1974,0,Natural Gas,Consumption,,
14821,Other Caribbean,1974,0.000779256,Natural Gas,Consumption,,
14822,Other South America,1974,0.0052533,Natural Gas,Consumption,,
14823,Total S. & Cent. America,1974,0.8746395681591821,Natural Gas,Consumption,,
14824,Austria,1974,0.1506670862436294,Natural Gas,Consumption,,
14825,Belgium,1974,0.3504843115806579,Natural Gas,Consumption,,
14826,Bulgaria,1974,0.0153162,Natural Gas,Consumption,,
14827,Croatia,1974,0,Natural Gas,Consumption,,
14828,Cyprus,1974,0,Natural Gas,Consumption,,
14829,Czech Republic,1974,0.052110899,Natural Gas,Consumption,,
14830,Denmark,1974,0,Natural Gas,Consumption,,
14831,Estonia,1974,0,Natural Gas,Consumption,,
14832,Finland,1974,0.016000001,Natural Gas,Consumption,,
14833,France,1974,0.5902532935142517,Natural Gas,Consumption,,
14834,Germany,1974,1.5867537260055542,Natural Gas,Consumption,,
14835,Greece,1974,0,Natural Gas,Consumption,,
14836,Hungary,1974,0.1860318034887313,Natural Gas,Consumption,,
14837,Iceland,1974,0,Natural Gas,Consumption,,
14838,Ireland,1974,0,Natural Gas,Consumption,,
14839,Italy,1974,0.6592869162559509,Natural Gas,Consumption,,
14840,Latvia,1974,0,Natural Gas,Consumption,,
14841,Lithuania,1974,0,Natural Gas,Consumption,,
14842,Luxembourg,1974,0.011342041,Natural Gas,Consumption,,
14843,Netherlands,1974,1.277999997138977,Natural Gas,Consumption,,
14844,North Macedonia,1974,0,Natural Gas,Consumption,,
14845,Norway,1974,0,Natural Gas,Consumption,,
14846,Poland,1974,0.2692593038082123,Natural Gas,Consumption,,
14847,Portugal,1974,0,Natural Gas,Consumption,,
14848,Romania,1974,0.9087327122688292,Natural Gas,Consumption,,
14849,Slovakia,1974,0.079690501,Natural Gas,Consumption,,
14850,Slovenia,1974,0,Natural Gas,Consumption,,
14851,Spain,1974,0.050903998,Natural Gas,Consumption,,
14852,Sweden,1974,0,Natural Gas,Consumption,,
14853,Switzerland,1974,0.012114,Natural Gas,Consumption,,
14854,Turkey,1974,0,Natural Gas,Consumption,,
14855,Ukraine,1974,0,Natural Gas,Consumption,,
14856,United Kingdom,1974,1.2608129978179932,Natural Gas,Consumption,,
14857,Other Europe,1974,0.062247466,Natural Gas,Consumption,,
14858,Total Europe,1974,7.540007254574448,Natural Gas,Consumption,,
14859,Azerbaijan,1974,0,Natural Gas,Consumption,,
14860,Belarus,1974,0,Natural Gas,Consumption,,
14861,Kazakhstan,1974,0,Natural Gas,Consumption,,
14862,Russian Federation,1974,0,Natural Gas,Consumption,,
14863,Turkmenistan,1974,0,Natural Gas,Consumption,,
14864,Uzbekistan,1974,0,Natural Gas,Consumption,,
14865,Other CIS,1974,0,Natural Gas,Consumption,,
14866,Total CIS,1974,9.043765068,Natural Gas,Consumption,,
14867,Iran,1974,0.1503542959690094,Natural Gas,Consumption,,
14868,Iraq,1974,0.028591201,Natural Gas,Consumption,,
14869,Israel,1974,0.002257168,Natural Gas,Consumption,,
14870,Kuwait,1974,0.1002402007579803,Natural Gas,Consumption,,
14871,Oman,1974,0,Natural Gas,Consumption,,
14872,Qatar,1974,0.048363481,Natural Gas,Consumption,,
14873,Saudi Arabia,1974,0.0779076,Natural Gas,Consumption,,
14874,United Arab Emirates,1974,0.06318,Natural Gas,Consumption,,
14875,Other Middle East,1974,0.074441306,Natural Gas,Consumption,,
14876,Total Middle East,1974,0.5453352518379688,Natural Gas,Consumption,,
14877,Algeria,1974,0.074428201,Natural Gas,Consumption,,
14878,Egypt,1974,0.002079,Natural Gas,Consumption,,
14879,Morocco,1974,0.002809008,Natural Gas,Consumption,,
14880,South Africa,1974,0.004192347,Natural Gas,Consumption,,
14881,Eastern Africa,1974,3.3299998904112726e-05,Natural Gas,Consumption,,
14882,Middle Africa,1974,0.0214836,Natural Gas,Consumption,,
14883,Western Africa,1974,0.0134748,Natural Gas,Consumption,,
14884,Other Northern Africa,1974,0.041766299,Natural Gas,Consumption,,
14885,Other Southern Africa,1974,0,Natural Gas,Consumption,,
14886,Total Africa,1974,0.1602665541577153,Natural Gas,Consumption,,
14887,Australia,1974,0.1933271586894989,Natural Gas,Consumption,,
14888,Bangladesh,1974,0.025606349,Natural Gas,Consumption,,
14889,China,1974,0.2732124030590057,Natural Gas,Consumption,,
14890,China Hong Kong SAR,1974,0,Natural Gas,Consumption,,
14891,India,1974,0.029894287,Natural Gas,Consumption,,
14892,Indonesia,1974,0.041180581,Natural Gas,Consumption,,
14893,Japan,1974,0.262342632,Natural Gas,Consumption,,
14894,Malaysia,1974,0.008709305,Natural Gas,Consumption,,
14895,New Zealand,1974,0.01153251,Natural Gas,Consumption,,
14896,Pakistan,1974,0.1319333463907241,Natural Gas,Consumption,,
14897,Philippines,1974,0,Natural Gas,Consumption,,
14898,Singapore,1974,0,Natural Gas,Consumption,,
14899,South Korea,1974,0,Natural Gas,Consumption,,
14900,Sri Lanka,1974,0,Natural Gas,Consumption,,
14901,Taiwan,1974,0.057514921,Natural Gas,Consumption,,
14902,Thailand,1974,0,Natural Gas,Consumption,,
14903,Vietnam,1974,0,Natural Gas,Consumption,,
14904,Other Asia Pacific,1974,0.066080767,Natural Gas,Consumption,,
14905,Total Asia Pacific,1974,1.1013342589139938,Natural Gas,Consumption,,
14906,Total World,1974,41.97549339937541,Natural Gas,Consumption,,
14907,of which: OECD,1974,29.812528299167752,Natural Gas,Consumption,,
14908,                 Non-OECD,1974,12.162965100207655,Natural Gas,Consumption,,
14909,                 European Union #,1974,6.204832791350782,Natural Gas,Consumption,,
14910,Canada,1975,1.661693453788757,Natural Gas,Consumption,,
14911,Mexico,1975,0.4730052351951599,Natural Gas,Consumption,,
14912,US,1975,18.941516876220703,Natural Gas,Consumption,,
14913,Total North America,1975,21.07621556520462,Natural Gas,Consumption,,
14914,Argentina,1975,0.315090001,Natural Gas,Consumption,,
14915,Brazil,1975,0.015109161,Natural Gas,Consumption,,
14916,Chile,1975,0.01991754,Natural Gas,Consumption,,
14917,Colombia,1975,0.0581121,Natural Gas,Consumption,,
14918,Ecuador,1975,0.0052335,Natural Gas,Consumption,,
14919,Peru,1975,0.020443499,Natural Gas,Consumption,,
14920,Trinidad & Tobago,1975,0.055295099,Natural Gas,Consumption,,
